,OBJECTID,ID,SUB_1,SUB_2,VOLTAGE,TYPE,STATUS,SHAPE_Length,geometry
80677,80678,300370,UNKNOWN303736,UNKNOWN304946,46.0,AC; OVERHEAD,IN SERVICE,0.2011233462366524,"MULTILINESTRING ((-94.575701 32.731035, -94.5769185 32.73134, -94.5785747 32.7317114, -94.5805507 32.7321571, -94.5823884 32.7325748, -94.5843358 32.7339419, -94.5854288 32.7347208, -94.5867986 32.7357265, -94.5881136 32.736664, -94.5890491 32.7373365, -94.590018 32.7380451, -94.5906528 32.7385248, -94.5934473 32.739944, -94.5945547 32.7405081, -94.5959555 32.7412408, -94.5974662 32.7420136, -94.5990078 32.7428165, -94.6003824 32.7435451, -94.6015733 32.7441453, -94.6033655 32.7450606, -94.6046733 32.7457431, -94.6061983 32.7465299, -94.6075824 32.7472485, -94.6091145 32.7480353, -94.6102505 32.7486234, -94.6118065 32.7494282, -94.613131 32.7501107, -94.6143671 32.7507489, -94.6162262 32.7510139, -94.617775 32.7512487, -94.6194312 32.7514915, -94.6208488 32.7517003, -94.6228678 32.7519933, -94.6246314 32.7522402, -94.6263997 32.7525172, -94.6279175 32.752746, -94.6290058 32.7529025, -94.6306071 32.7531373, -94.6306835 32.7549517, -94.6308004 32.7564529, -94.6309019 32.7579441, -94.631112 32.7611, -94.660193 32.778923, -94.692042 32.813597, -94.70245 32.817723, -94.702997 32.825575, -94.701845 32.835077, -94.7167709 32.8412585, -94.720539 32.842819, -94.7231695 32.8441341))"
270,271,164270,GUNTERSVILLE PRIMARY,UNKNOWN162166,-999999.0,OVERHEAD,IN SERVICE,0.0010527487960123,"MULTILINESTRING ((-86.3146884 34.3176897, -86.3145783 34.3174161, -86.3153062 34.3172054))"
49024,49025,139677,SANDY RUN,TAP142316,115.0,AC; OVERHEAD,IN SERVICE,0.3026295426831653,"MULTILINESTRING ((-80.8493755 33.8817539, -80.8577984 33.8826605, -80.8661443 33.8835231, -80.8747758 33.8853731, -80.8874048 33.8879786, -80.9028713 33.8896978, -80.9137276 33.8909053, -80.9324837 33.8929457, -80.9364277 33.89338, -80.9421741 33.8947422, -80.9534706 33.8974964, -80.9690858 33.9012381, -80.9869793 33.9055212, -80.9965388 33.9078709, -81.0072761 33.9103931, -81.0093641 33.9080434, -81.0115056 33.9054855, -81.0146941 33.9015058, -81.015396 33.9007266, -81.0167583 33.8994238, -81.0180194 33.8981508, -81.0186202 33.8974251, -81.0192984 33.8966398, -81.0269483 33.8936417, -81.0250745 33.8876633, -81.0279715 33.8861286, -81.0286318 33.8841536, -81.03 33.8801502, -81.0331587 33.8707632, -81.0359784 33.8697876, -81.0380569 33.8691762, -81.0388332 33.8688996, -81.0391485 33.8676028, -81.0396898 33.8657557, -81.0400764 33.8639146, -81.0407784 33.8610325, -81.0403084 33.8598695, -81.0390384 33.8569041, -81.0369742 33.851815, -81.0359213 33.8491203, -81.0356388 33.8484481, -81.0366054 33.8464137, -81.034565 33.8423715, -81.0339791 33.8411699, -81.0335924 33.8413305, -81.0326406 33.8393675, -81.0303742 33.8348905, -81.0262482 33.8266481, -81.0256248 33.8254298, -81.0274332 33.8247826, -81.0260816 33.8223127, -81.025629 33.8214953, -81.0252007 33.8203175, -81.0302256 33.8187899, -81.0334081 33.8178024, -81.0349667 33.8173295, -81.0418046 33.8156044, -81.0451746 33.8147835, -81.0461293 33.8140072, -81.0471257 33.8131536, -81.0473995 33.8127714, -81.0490336 33.8114176, -81.0502272 33.8097834, -81.0501551 33.8097193, -81.0496239 33.8092765))"
2362,2363,143732,UNKNOWN124220,TAP141150,115.0,AC; OVERHEAD,IN SERVICE,0.0943257870841963,"MULTILINESTRING ((-76.8079809 40.1329031, -76.8078441 40.1325997, -76.8011578 40.1282334, -76.7998789 40.116812, -76.7936447 40.1166931, -76.7876246 40.1166455, -76.7840138 40.1146646, -76.7774762 40.1130406, -76.7773097 40.1130108, -76.7723664 40.1164848, -76.7630508 40.1150215, -76.7528905 40.113457, -76.7427718 40.1118806, -76.7336525 40.1104529, -76.7315407 40.1101138, -76.727924 40.1114999))"
21076,21077,104711,UNKNOWN111110,TAP142696,161.0,AC; OVERHEAD,IN SERVICE,9.858225695432448e-05,"MULTILINESTRING ((-86.9852123 33.8119561, -86.9851205 33.811992))"
39524,39525,175516,UNKNOWN174489,TAP174490,-999999.0,OVERHEAD,NOT AVAILABLE,0.1174665459223258,"MULTILINESTRING ((-95.4653095 45.267365, -95.465353 45.267477, -95.467776 45.267449, -95.469482 45.267476, -95.470943 45.267737, -95.479761 45.267713, -95.4806 45.267624, -95.490638 45.267566, -95.492613 45.26768, -95.493598 45.267673, -95.497007 45.267651, -95.510563 45.26757, -95.532923 45.267397, -95.541182 45.267289, -95.541184 45.266999, -95.557996 45.266957, -95.580438 45.266945, -95.582377 45.266885))"
56062,56063,171336,TAP154241,TAP169556,115.0,AC; OVERHEAD,IN SERVICE,0.0107435593515024,"MULTILINESTRING ((-82.6356945 35.5388204, -82.6382507 35.5415851, -82.6405972 35.5441857, -82.6413638 35.5450327, -82.6428718 35.5466746, -82.6429419 35.5467512))"
79722,79723,211929,TAP209638,UNKNOWN209645,69.0,AC,IN SERVICE,0.0035432010873865,"MULTILINESTRING ((-111.5917567 39.3589223, -111.5907058 39.3589025, -111.5893599 39.3588663, -111.5888003 39.3587921, -111.5882368 39.3586493))"
66999,67000,101627,GENERAL ELECTRIC,WILLOW,115.0,AC; OVERHEAD,IN SERVICE,0.1747103333775113,"MULTILINESTRING ((-81.0762399 29.1937269, -81.0764341 29.1938564, -81.0765445 29.1940087, -81.0774468 29.1958646, -81.07983 29.2004979, -81.0803059 29.2014116, -81.0812482 29.2032724, -81.0820287 29.2039529, -81.0839155 29.2077418, -81.0844806 29.2087144, -81.0863622 29.208663, -81.0871218 29.2087055, -81.0892157 29.20621, -81.0915327 29.2035183, -81.0964493 29.1976708, -81.0977669 29.1961271, -81.1047831 29.1878431, -81.1046132 29.1743351, -81.1045061 29.1647696, -81.1043943 29.1551571, -81.104242 29.1425174, -81.1041183 29.1359596, -81.1040231 29.1319716, -81.1022813 29.1291972, -81.1011677 29.1273126, -81.0989025 29.1273936, -81.0924113 29.1276315, -81.0858773 29.1279932, -81.0792053 29.128381, -81.0770638 29.1284738, -81.0748223 29.1285238, -81.0726129 29.1285101, -81.0682109 29.1285696, -81.0545498 29.1286507, -81.0455018 29.1286359, -81.0411058 29.1286388, -81.0389176 29.1285011, -81.0363791 29.1283589, -81.0363529 29.1292931, -81.0359913 29.1290704))"
71273,71274,203103,TAP204719,UNKNOWN204720,69.0,AC,NOT AVAILABLE,0.0002929556071684,"MULTILINESTRING ((-111.4984481 44.0789339, -111.4981724 44.0788349))"
89107,89108,308847,NOT AVAILABLE,NOT AVAILABLE,66.0,AC; OVERHEAD,IN SERVICE,0.0972027631078719,"MULTILINESTRING ((-117.4866615 33.9146766, -117.4869361 33.9148194, -117.4837221 33.9165911, -117.4838848 33.9174975, -117.4837025 33.9182708, -117.4803467 33.9177703, -117.4784171 33.9174455, -117.4781835 33.9185074, -117.4779064 33.9197824, -117.475748 33.9215152, -117.4736904 33.9231517, -117.4722944 33.9243599, -117.4700038 33.9252433, -117.4689877 33.9255001, -117.4679346 33.9254536, -117.4663836 33.9255276, -117.4648002 33.9253326, -117.4627739 33.9259529, -117.4602473 33.9243202, -117.4595733 33.9240007, -117.454223 33.9239408, -117.4541873 33.9240364, -117.4541587 33.9247991, -117.453708 33.9252465, -117.4529418 33.9257414, -117.4517776 33.9263782, -117.451351 33.9266123, -117.4493326 33.9277546, -117.44696 33.9291031, -117.4460878 33.9296013, -117.4430282 33.9313321, -117.4396278 33.9332695, -117.4375366 33.9344778, -117.4372907 33.9349211, -117.4367785 33.9352076, -117.4344584 33.9365052, -117.4312617 33.9383328, -117.4282027 33.9400668, -117.4243059 33.9422943, -117.4227871 33.9431527, -117.4249572 33.945843, -117.4252891 33.9464941, -117.425303 33.9499148, -117.4253027 33.9519437, -117.4253111 33.9534882, -117.4252228 33.9539053, -117.4252194 33.9563401, -117.4252345 33.9568528, -117.4260373 33.9568676, -117.4260002 33.9582566, -117.4259728 33.9592211, -117.4261497 33.9599251, -117.4270881 33.9607055, -117.4277113 33.9607823))"
